date;LY;REG1_Semaine;REG2_Semaine;REG2_Samedi;REG3_Lundi;REG3_Semaine;REG3_Samedi;REG5_Lundi;REG5_Mardi;REG5_Mercredi;REG5_Jeudi;REG5_Vendredi;REG6_Lundi;REG6_Mardi;REG6_Mercredi;REG6_Jeudi;REG6_Vendredi;REG6_Samedi
2016-04-01;1.9984E-15;1.30580459110366;5.80995072760628;1.80165845460105;1.59847931053383;4.21147141707246;1.80165845460105;0.697650083233303;-0.0991707726994768;-0.0991707726994768;-0.0943331740312097;0.900829227300523;1.59847931053383;0.801658454601047;0.801658454601047;0.806496053269314;1.80165845460105;1.80165845460105
2016-05-01;7.77156E-16;2.9879086398206;4.4078433825496;0.567973897091601;1.17751132929326;3.23033205325635;0.567973897091601;0.89352438074746;1.2839869485458;0.283986948545801;0.242423413435742;0.283986948545801;1.17751132929326;1.5679738970916;0.567973897091601;0.526410361981542;0.567973897091601;0.567973897091601
2016-06-01;1.77636E-15;3.49515976484046;4.56313102544079;0.427188504240131;0.817651072038472;3.74547995340231;0.427188504240131;0.604056819918407;0.213594252120066;1.21359425212007;1.25032018856186;0.213594252120066;0.817651072038472;0.427188504240131;1.42718850424013;1.46391444068192;0.427188504240131;0.427188504240131
2016-07-01;8.88178E-16;-5;-5;0;-1;-4;0;-1;-1;-1;-2;0;-1;-1;-1;-2;0;0
2016-08-01;8.32667E-16;2;2;0;0;2;0;0;1;1;0;0;0;1;1;0;0;0
2016-09-01;1.77636E-15;2;2;0;0;2;0;0;0;0;1;1;0;0;0;1;1;0
2016-10-01;8.88178E-16;-4;-4;0;0;-4;0;0;-1;-1;-1;-1;0;-1;-1;-1;-1;0
2016-11-01;1.83187E-15;0;0;0;0;0;0;0;0;1;0;-1;0;0;1;0;-1;0
2016-12-01;8.88178E-16;2;7;2;1;6;2;0;0;0;1;1;1;1;1;2;2;2
2017-01-01;0;2;2;0;1;1;0;1;1;0;0;0;1;1;0;0;0;0
2017-02-01;-0.242142857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2017-03-01;8.88178E-16;3.71112700423527;4.21907486440332;0.20317914406722;0.40635828813444;3.81271657626888;0.20317914406722;0.30476871610083;0.10158957203361;1.10158957203361;1.10158957203361;1.10158957203361;0.40635828813444;0.20317914406722;1.20317914406722;1.20317914406722;1.20317914406722;0.20317914406722
